,spectral_flatness_amean,spectral_flatness_stddev,tonnetz0_amean,tonnetz1_amean,tonnetz2_amean,tonnetz3_amean,tonnetz4_amean,tonnetz5_amean,tonnetz0_stddev,tonnetz1_stddev,tonnetz2_stddev,tonnetz3_stddev,tonnetz4_stddev,tonnetz5_stddev,chroma_stft0_amean,chroma_stft1_amean,chroma_stft2_amean,chroma_stft3_amean,chroma_stft4_amean,chroma_stft5_amean,chroma_stft6_amean,chroma_stft7_amean,chroma_stft8_amean,chroma_stft9_amean,chroma_stft10_amean,chroma_stft11_amean,chroma_stft0_stddev,chroma_stft1_stddev,chroma_stft2_stddev,chroma_stft3_stddev,chroma_stft4_stddev,chroma_stft5_stddev,chroma_stft6_stddev,chroma_stft7_stddev,chroma_stft8_stddev,chroma_stft9_stddev,chroma_stft10_stddev,chroma_stft11_stddev,harmonic_amean,harmonic_stddev,percussive_amean,percussive_stddev,tempo
5,0.00521848676726222,0.03370215743780136,-0.02092778974980161,-0.036962975208284184,0.08002019403769838,-0.05074916845241745,-0.0054133939534880575,0.015169684051042562,0.03230110605834035,0.029970989004361,0.14562655913605702,0.11547534234189358,0.03162650577502229,0.032972275863474884,0.25214025378227234,0.3342225551605225,0.27540433406829834,0.4318410754203797,0.28915199637413025,0.2281257510185241,0.4257753491401672,0.15996475517749786,0.16709840297698975,0.12919621169567108,0.29872632026672363,0.5222955942153931,0.1803754568099976,0.3572887182235718,0.22808463871479034,0.35619375109672546,0.2873291373252869,0.17276088893413544,0.3473791480064392,0.132489413022995,0.2561660706996918,0.1750904768705368,0.2660190463066101,0.3852035105228424,-5.187126816963429e-07,0.137476846575737,7.5333846325520435e-06,0.04361356794834137,99.38401442307692
4,0.0073821889236569405,0.03345344588160515,0.02102927521185036,0.01286030212057454,-0.08180432004650902,0.06295281928591029,0.01096416885368158,0.02046686757337993,0.02600634618226991,0.026744593453636296,0.10929882971158968,0.08472330420110878,0.01856923189655751,0.023050617350218808,0.2762297987937927,0.2089674919843673,0.2372788190841675,0.2515133619308472,0.4848952293395996,0.2537229657173157,0.19023630023002625,0.3176310956478119,0.4423787593841553,0.7552136778831482,0.4307841956615448,0.34328606724739075,0.30116042494773865,0.21531103551387787,0.262127697467804,0.17794328927993774,0.3081236779689789,0.1780478209257126,0.19364048540592202,0.2847377359867096,0.2274583429098129,0.336066335439682,0.2251877337694168,0.2389851212501526,-3.206592737114988e-06,0.15955311059951782,-8.150149369612336e-06,0.07797939330339433,172.265625
3,0.002334867138415575,0.02815512008965016,0.035008323862741525,-0.0017934620056899015,-0.004627141491342311,0.10613434918556648,0.01691508815860365,0.003816756441845,0.02477787940886204,0.0343111063105438,0.1857272790757794,0.17868055210429126,0.04294877282991307,0.04775321062121373,0.4376413524150848,0.3648093342781067,0.3970305323600769,0.4672568440437317,0.57778000831604,0.4902911186218262,0.4023222029209137,0.4504845440387726,0.4597063958644867,0.4353899657726288,0.3925753533840179,0.4496738314628601,0.3045716881752014,0.2482983916997909,0.2931959927082062,0.298628568649292,0.3204076886177063,0.3246082365512848,0.2623167932033539,0.32130688428878784,0.29270514845848083,0.32514604926109314,0.23047395050525665,0.2582453787326813,-2.903970425904845e-06,0.1231372281908989,-2.069657239189837e-05,0.024249158799648285,95.703125
2,0.00805949978530407,0.02884754166007042,0.007590224341910039,0.0072148576565592565,-0.08464392085580526,0.04790641053381013,8.819952697299519e-05,-0.003988045486324187,0.03622097547348673,0.022039686969950616,0.08472806908638943,0.10864148230541276,0.030796426674034306,0.03422177151342859,0.23242512345314026,0.20206741988658905,0.2223540097475052,0.3080034554004669,0.4724298417568207,0.4956038296222687,0.34363025426864624,0.3405178785324097,0.5408840775489807,0.6630107760429382,0.4696385264396668,0.33299967646598816,0.2052241712808609,0.1792474240064621,0.2529990673065185,0.2632065117359161,0.3246911764144897,0.31744763255119324,0.25222650170326233,0.2491418272256851,0.30449697375297546,0.3530038297176361,0.2855014503002167,0.2557504177093506,-8.670827810419722e-06,0.09308578073978424,-2.1062096493551508e-05,0.03645796701312065,143.5546875
10,0.006693584844470024,0.03471173346042633,0.020095273170562537,0.002973920252293807,-0.03168797985227211,0.00215202871970213,0.005086885410896335,0.015350770646626847,0.028422786183465693,0.029096986503370243,0.14556654357394644,0.1328784205393905,0.031150885212058794,0.032741752075494124,0.30994513630867004,0.2861335575580597,0.3221433162689209,0.2337500602006912,0.26675474643707275,0.1869695633649826,0.2395109236240387,0.2398422956466675,0.20616042613983154,0.383303701877594,0.25536856055259705,0.2016224563121796,0.361850380897522,0.3035379946231842,0.3552214801311493,0.26941728591918945,0.30924081802368164,0.2314485013484955,0.307695209980011,0.2950302362442017,0.2059240639209748,0.3890691697597504,0.2782967686653137,0.2595057487487793,-1.5239380672937841e-06,0.0624278336763382,-1.3627685802930499e-05,0.030339622870087624,95.703125
8,0.007061371114104986,0.027533382177352902,0.015616124506743363,0.008201016525203952,-0.041199282558649804,0.08303700435030363,0.010760951821400692,-0.0004924899287339502,0.023261384097512286,0.020439901675602844,0.08839133684036964,0.13489593079229373,0.024529764767364848,0.02464610270874426,0.35131099820137024,0.29409828782081604,0.3615773916244507,0.3912201821804047,0.5888250470161438,0.32024747133255005,0.23666562139987946,0.35019928216934204,0.3620893955230713,0.4107511937618256,0.4602507054805756,0.5047479271888733,0.3097609281539917,0.2474430501461029,0.306350439786911,0.2075999081134796,0.38281798362731934,0.21784399449825287,0.19943611323833466,0.3069679141044617,0.2982594072818756,0.354601114988327,0.3311951160430908,0.3523722290992737,4.7192671104312467e-07,0.12261790037155153,-5.895312824577559e-06,0.034642878919839866,161.4990234375
7,0.003186026122421027,0.032281924039125436,0.009009140531833264,0.0081475396995221,0.033997374758662005,0.008356906675272831,-0.0033409452587223353,-0.012367895997435777,0.03175494925201887,0.03128972677842657,0.16416197641287947,0.16492723374226118,0.047325271264134286,0.03467461141511345,0.33511069416999817,0.2776802182197571,0.340318500995636,0.3800624907016754,0.4270687401294708,0.4456739723682404,0.3772654533386231,0.364652544260025,0.2813459634780884,0.2709587514400482,0.3337101638317108,0.3900136947631836,0.3405093252658844,0.2374441176652909,0.3337380886077881,0.32247427105903625,0.36003464460372925,0.3834798932075501,0.2737790644168854,0.33187228441238403,0.27651146054267883,0.2862470746040344,0.32453784346580505,0.3597833216190338,-0.00016744862659834323,0.246995210647583,-0.0010822355980053544,0.059691917151212685,117.45383522727272
13,0.004823757801204921,0.033396802842617035,0.0053980605525193685,0.0366979013559719,0.005405547903894593,-0.02813424281081469,0.0008311059526032347,0.00266257442559421,0.02489855968838096,0.019516604611779568,0.16134751212449114,0.23031802605981624,0.04406372487838912,0.04739644455508131,0.4251602590084076,0.3025038838386536,0.2917864620685577,0.2988743484020233,0.1478322595357895,0.2923104465007782,0.20324137806892395,0.2277883589267731,0.18292856216430664,0.22222094237804413,0.3590782880783081,0.3358241021633148,0.3806239664554596,0.2606833875179291,0.3024907112121582,0.3481251001358032,0.14457929134368894,0.3733765780925751,0.20476341247558594,0.3031599223613739,0.1948232203722,0.22676101326942444,0.3729805648326874,0.2834295332431793,-1.7348455685350934e-06,0.12910595536231995,1.4719099681315129e-06,0.037011198699474335,86.1328125
12,0.02239376306533813,0.049260444939136505,-0.006010455895874714,0.021153359371653087,0.06200120056170789,0.06220407675818301,0.006391567412689471,0.01563378692322066,0.028003053717863262,0.031144473558177625,0.12126456244149365,0.14799704543561815,0.025645658535816462,0.03145656340527754,0.5482142567634583,0.3665275871753693,0.3426859676837921,0.4070759415626526,0.3417489528656006,0.3786080479621887,0.30620598793029785,0.3907349705696106,0.2730674743652344,0.2548590898513794,0.327911913394928,0.3749777972698212,0.3886522948741913,0.2482199966907501,0.28683027625083923,0.38097622990608215,0.2929733991622925,0.3534497916698456,0.2171512097120285,0.32342272996902466,0.21165387332439425,0.24314908683300016,0.30666014552116394,0.2457187622785568,-3.918890342902159e-06,0.2053307145833969,7.94863353803521e-06,0.08293458819389342,129.19921875
20,0.017713142558932304,0.03356873616576195,0.013299760809448473,0.006805773186948293,-0.020443633091422844,0.02496757175397124,0.006259603465201045,0.009548546754029224,0.025214302309136308,0.025041845179813345,0.09331894657449326,0.10290520124159386,0.02128825725177378,0.023732806253765896,0.37450844049453735,0.3166351020336151,0.40712830424308777,0.36317718029022217,0.3789680600166321,0.2544014155864716,0.26694369316101074,0.3536908328533173,0.3593987822532654,0.5074209570884705,0.3538090288639069,0.3031468391418457,0.3374353051185608,0.23084846138954165,0.3360932767391205,0.2831333875656128,0.3324527442455292,0.2401153147220612,0.25224655866622925,0.3205830454826355,0.2539573311805725,0.3643204569816589,0.27277234196662903,0.2782116532325745,0.00014721389743499458,0.10021015256643297,0.001146645750850439,0.07004506140947342,112.34714673913044
