,F0final_sma_stddev,F0final_sma_amean,pcm_RMSenergy_sma_stddev,pcm_RMSenergy_sma_amean,pcm_zcr_sma_stddev,pcm_zcr_sma_amean,pcm_fftMag_spectralRollOff25.0_sma_stddev,pcm_fftMag_spectralRollOff25.0_sma_amean,pcm_fftMag_spectralRollOff50.0_sma_stddev,pcm_fftMag_spectralRollOff50.0_sma_amean,pcm_fftMag_spectralRollOff75.0_sma_stddev,pcm_fftMag_spectralRollOff75.0_sma_amean,pcm_fftMag_spectralRollOff90.0_sma_stddev,pcm_fftMag_spectralRollOff90.0_sma_amean,pcm_fftMag_spectralFlux_sma_stddev,pcm_fftMag_spectralFlux_sma_amean,pcm_fftMag_spectralCentroid_sma_stddev,pcm_fftMag_spectralCentroid_sma_amean,pcm_fftMag_spectralEntropy_sma_stddev,pcm_fftMag_spectralEntropy_sma_amean,pcm_fftMag_spectralVariance_sma_stddev,pcm_fftMag_spectralVariance_sma_amean,pcm_fftMag_spectralSkewness_sma_stddev,pcm_fftMag_spectralSkewness_sma_amean,pcm_fftMag_spectralKurtosis_sma_stddev,pcm_fftMag_spectralKurtosis_sma_amean,pcm_fftMag_spectralSlope_sma_stddev,pcm_fftMag_spectralSlope_sma_amean,pcm_fftMag_psySharpness_sma_stddev,pcm_fftMag_psySharpness_sma_amean,pcm_fftMag_spectralHarmonicity_sma_stddev,pcm_fftMag_spectralHarmonicity_sma_amean,pcm_fftMag_mfcc_sma[1]_stddev,pcm_fftMag_mfcc_sma[1]_amean,pcm_fftMag_mfcc_sma[2]_stddev,pcm_fftMag_mfcc_sma[2]_amean,pcm_fftMag_mfcc_sma[3]_stddev,pcm_fftMag_mfcc_sma[3]_amean,pcm_fftMag_mfcc_sma[4]_stddev,pcm_fftMag_mfcc_sma[4]_amean,pcm_fftMag_mfcc_sma[5]_stddev,pcm_fftMag_mfcc_sma[5]_amean,pcm_fftMag_mfcc_sma[6]_stddev,pcm_fftMag_mfcc_sma[6]_amean,pcm_fftMag_mfcc_sma[7]_stddev,pcm_fftMag_mfcc_sma[7]_amean,pcm_fftMag_mfcc_sma[8]_stddev,pcm_fftMag_mfcc_sma[8]_amean,pcm_fftMag_mfcc_sma[9]_stddev,pcm_fftMag_mfcc_sma[9]_amean,pcm_fftMag_mfcc_sma[10]_stddev,pcm_fftMag_mfcc_sma[10]_amean,pcm_fftMag_mfcc_sma[11]_stddev,pcm_fftMag_mfcc_sma[11]_amean,pcm_fftMag_mfcc_sma[12]_stddev,pcm_fftMag_mfcc_sma[12]_amean,pcm_fftMag_mfcc_sma[13]_stddev,pcm_fftMag_mfcc_sma[13]_amean,pcm_fftMag_mfcc_sma[14]_stddev,pcm_fftMag_mfcc_sma[14]_amean
197,48.17390657999999,204.52731412121216,0.027439050049352737,0.06886189641454545,0.005060890754000002,0.03498653248484847,95.66439003636364,484.9251218181816,116.46669153939388,671.6619836363642,130.43046572121204,826.220727878788,138.77819927272722,967.3750103030296,0.1850135655576606,0.3503932250333336,88.52767426666662,662.9835036363639,0.3073216208484849,3.0152806909090915,128805.47309696984,588468.350109091,6.420252356727271,11.109713689090905,996.0115017641214,1372.325338272727,0.2501617915331896,-0.3060478065788678,0.07308811797575758,0.6190079957575757,0.8157609368777189,0.9920362002032236,3.96412872121212,54.91760775757579,4.487435933333333,12.79873749090909,3.9305877515151497,-13.653466672727275,5.377915036363636,-20.21978922424244,5.386165242424245,-17.50332728721213,5.807511090909093,-14.8447434,6.452599727272728,-7.480973540000003,5.770925121212119,-3.5970131261212104,6.4383014787878805,-3.3920009329696974,6.789477054545452,-6.341769623272728,6.570641969696974,-6.7848733199393925,7.08940521818182,-4.597098314363637,6.222528381818185,-2.1083534059999987,5.643835054545451,-2.7132794886666662
1949,64.1365159090909,113.31681886363636,0.027555865227272745,0.04386875131818183,0.010314608943181815,0.03373465352272728,109.98912556818186,261.18306931818177,144.74039943181816,414.6136704545455,204.07758056818184,636.4072965909094,383.85813613636384,1063.585256818182,0.31928877874999995,0.4362155311363637,169.70071556818183,553.4718477272728,0.41562413181818186,3.8766219886363635,252818.08147727264,405410.37284090905,1.7515474624999996,6.140015193181821,73.04728931818183,110.36929625000003,0.14779328317045462,-0.14897562519318186,0.13321833318181814,0.5129900306818187,0.35860700161363634,0.33371200297727266,5.475765409090911,28.944740227272746,4.173043670454546,-3.382908991931818,4.700029965909092,6.844948397727268,4.4257300795454535,-6.343532352272724,5.93060934090909,-7.284182449999998,6.563160011363636,2.1889435125000003,5.601673545454546,1.015811712613636,6.8179182272727274,4.478775777386365,6.84048731818182,-1.1917194645454547,7.245717363636363,4.39986166534091,8.777963761363637,-12.746204068863635,6.615172715909094,-4.196442817954546,5.005624022727272,-4.930453485227272,5.129705454545458,1.8210564135227256
198,34.405863493603405,112.3227147953092,0.015946987988955233,0.06592987846814495,0.007399689170063966,0.025520760341151368,72.60542911727076,168.4294376332623,153.78185217270797,290.7814972068232,241.7170999360339,528.3697136460554,272.3271211727079,851.3206245202555,0.10035977002814493,0.3949827532765457,126.15107473347557,408.2668228144993,0.4398878240298508,2.9203420277185503,169296.39767590628,347735.07374200417,5.755463322388061,11.385991757569304,899.6987196353937,1081.9254824669506,0.1438908655771599,-0.2845096353224509,0.10233313289978678,0.3737465151385931,0.3205752896370095,0.6227610666991439,2.6596477846481887,37.50238153091684,4.067807247334754,6.228862602494671,5.040496518123668,13.502772350639644,6.292562257995732,17.544998657483998,7.293430797441363,8.904362374498936,8.138086991471221,-1.1722932837953113,8.468420861407251,-9.501156424776122,8.827039102345415,1.990489029573559,9.300084528784648,-0.005275729573563861,8.728697739872079,-7.843933235223877,8.458748891257995,0.4163578939083147,7.3989169999999955,0.13163342200639486,6.930260119402991,4.3227927933475465,6.312008012793172,-1.2924950735820897
795,45.78010685990785,108.8359558064515,0.03648974079907832,0.05745072263364059,0.006181074384792627,0.016495301331797246,69.96702229493089,176.84845891705052,102.71187074654374,251.04076357142844,135.72748175115208,358.02141976958495,173.94393384792622,481.3100898617512,0.3338864908778799,0.4459265098156685,96.99384129032265,288.66410359446974,0.4097407402995391,2.857692698847925,74296.03195391705,63476.569562211975,12.623750677419348,16.4448212672811,1813.3543146082952,1615.8538656682026,0.35104833943032265,-0.2615064899728111,0.09441034587557612,0.3028283772350231,1.0758702932037332,0.6989685057376493,6.522640085253454,45.257149423963135,10.821545668202761,15.664909102304168,8.206399633640554,8.604418658294941,8.154351073732716,0.4012564685253448,7.926036152073728,-9.769304082281103,6.942583854838718,-9.807458973271892,7.2385473640552975,7.496039538709684,7.338625324884787,6.442857029976963,7.247050592165903,3.3971791870737333,7.451567520737331,-3.1055024129953943,7.436445184331799,-2.235056859308756,7.27641797004608,-1.688907659599078,5.977616576036862,-4.241838321156683,5.333580039170506,-4.8715949877880185
848,38.17766933333337,63.28185331385284,0.03520828281082248,0.09784061046255403,0.015235139529004325,0.03561820526406926,116.6310885194805,157.74018863636385,250.3933774870132,295.60209588744567,468.30994452380935,628.1051978354975,684.9625827272725,1246.8697038961038,0.3604150338398267,0.9057641573398262,266.7846975930735,516.8378612337664,0.5728106577922079,3.1111868701298686,821847.2781103883,884655.6252813855,6.769884330303028,9.777643909090909,1002.8595751883116,818.6718061969693,0.4553061704196321,-0.6517822656193503,0.19185141357575766,0.4226410861038959,0.4081850859178575,0.4976336603058441,6.773168950216457,29.80172321212121,8.267662748917758,2.829159954333334,7.938008569264066,9.624270118982693,8.362016030303026,0.1899212730735935,9.547004043290052,14.5113307278355,10.481049246753242,1.493037339196969,10.234596337662335,14.458015903571436,10.28867174675325,3.960401116030305,10.437767705627703,2.5972933841558463,9.824943571428587,9.18544533015152,9.264157703463207,-1.0797327135541144,8.200576766233768,4.650165603969696,7.460719785714282,0.2652597997768392,6.580323424242426,1.5856384807402606
158,63.12030744804464,232.64711368715103,0.01703708952635922,0.042652097549832416,0.008273397860335194,0.057347318324022366,144.2208046648045,623.8068826815643,179.05632060335194,913.0295167597764,204.59269175418999,1226.3412100558655,230.01268597765358,1551.8141178770957,0.1211654129496704,0.24455657525642466,141.54923994413411,959.9480536312852,0.4210403453072625,3.3322576759776528,209291.296905028,1504805.004972067,4.235479784357541,6.906277850837991,506.3540411773742,484.6957373072627,0.11585425497095266,-0.15304098774171954,0.11247559804469273,0.828646877653631,0.4541923267056512,0.4987083036731702,4.382838720670394,47.6046636600559,6.380182117318437,-14.842529184916186,6.374583776536312,-18.576000108491627,7.488621960893855,-13.166292555810053,8.121097391061452,-17.394469016759786,8.413401441340781,-12.199553349497213,9.191314569832402,-8.236597125698326,10.672373022346372,-10.122610775251394,10.58602584357542,-11.062844560893858,9.213588407821232,-8.45774669452514,9.175075424581006,-0.9962774157541886,7.754118787709492,1.5964896533519557,7.326582849162007,-0.8009791424581001,7.107924983240221,-0.34466981748603315
206,91.31420886178525,207.3140964596933,0.01810843834069736,0.03450854178467227,0.015832540163807512,0.04461444245606696,174.48895214504876,420.6178360948394,252.3815764281733,579.1480628033463,395.80795458577387,846.2224476150619,655.8212343319383,1312.3461090655505,0.15958770387238494,0.26880490971464466,280.2946042524408,748.5149325801951,0.6369887883263607,3.114604442119944,855583.6298103208,892038.018175732,5.340594449511847,10.652064125104618,473.18908378382173,573.188513486749,0.15551995444385042,-0.1847786364379972,0.20002276817154788,0.6332701797071129,0.4655869966887865,0.5109419341972811,5.1857148605299885,23.062343564295663,7.093393486750347,-3.912969802065269,6.797249693165963,1.6948402627336099,7.23268716178522,-2.4602449891073945,6.889796380753138,-0.5096611613263597,7.857094170153428,-6.327480563696238,8.331224008368203,-1.0777433546582984,8.636019661087861,0.4962359312928878,8.692813945606696,1.5042072981799128,9.207902376569027,0.5524679476708502,9.019917241283126,-1.4084025287461652,8.456700012552304,-2.729842499205017,8.375076033472805,3.75785908767085,7.391099078103199,2.7036289831994424
660,39.839205110714246,134.98815875776415,0.009874069495843144,0.05051063658003105,0.008318402956832295,0.02857747712422364,51.601873144409936,204.61692333850928,95.91438372360248,304.14111177018606,195.77081927018608,502.084524798138,395.6784389425466,964.7552664130417,0.08978250820289131,0.3233614484222052,124.05669422049692,484.0983118012418,0.3947401211677024,3.4292572049689407,283892.6293074533,1134006.5729813671,5.422757278913057,10.746686848602488,650.2108856459622,695.8058199394411,0.06892587888750906,-0.18472738822968346,0.09096397229658376,0.4369062347826089,0.2040270737596445,0.4616761288017841,3.2982726284161545,30.749620872670807,5.342564675931673,4.2192674082313655,5.6596024902174005,11.103839114161492,5.427475950310559,-6.2186874181211245,6.165634565217397,-4.2436425630186365,7.128720799689442,2.2967029423447203,7.77900357919255,-10.126086489301253,6.857173687888197,-8.814809887406842,7.770355190993787,11.203027048618019,8.663681271739136,-3.9220356018571456,8.183118815217398,-4.840366790928567,6.801387059006211,-2.270587761475157,7.439724181677016,-6.111367363322978,5.59774316925466,-4.153749430195655
661,66.31481681684623,121.83290023212535,0.026584179896816846,0.11374008117971601,0.01345428662291869,0.06136519895592561,176.93298706464225,348.18999689520126,280.7762566385901,642.5225163663064,407.0445158932418,1111.7274346327126,583.6112792164548,1834.294826807052,0.2627300492095788,0.9880381883044079,258.86239055827616,892.2815837414295,0.593235352791381,3.7606631931050516,580067.1140734574,1404877.8323898094,2.102267506856027,5.823495569363363,81.54345228716954,120.7812648560235,0.4242653315536296,-0.9200423211552726,0.18113757387855006,0.701601111753182,1.0450675979861843,2.1850781538639867,3.2322156660137105,17.79257711221353,5.145255194906946,0.4193745348393741,5.165779030362391,7.509453392468168,5.6941000901077405,-6.048965953780612,6.431481934378061,6.702275508080312,6.876954666993138,-2.023147833555341,7.415572130264446,5.031001111988245,7.711243134182175,3.9905459338785496,7.56730663271301,-0.8736727204211533,7.367555358472093,-1.983875661408422,7.142311540646433,-3.6182585313604174,7.009818332027428,2.513467147541625,6.55849730852104,0.5335390194769826,5.555424812928509,1.6534573578951988
223,61.798397549560406,139.64212142857144,0.03502088418803903,0.07137492610895607,0.0052968852895604384,0.024866755384615385,92.55822082417583,330.2743752747253,115.21324340109886,463.79364340659316,120.32850499450552,598.7768483516479,125.03581026923086,716.1312631868129,0.3667273260984067,0.5959908949478021,91.13008752747255,475.0708500000002,0.3117144143956046,3.1841995274725288,149255.82112087912,322069.40895604395,5.7260818243956075,10.25842027582418,859.6022834741757,1075.4248878351652,0.3418415517159068,-0.35886104409541125,0.07647709324175818,0.4649843098901097,0.9727715650009318,0.9533741440465384,4.406657417582421,57.24570444505492,3.9180465714285706,15.694971252747262,3.2234886208791207,-7.223827007692303,5.058548824175824,-10.757105378131866,4.816552269230767,-9.806805101648347,5.1497375384615385,-9.493511972527473,4.992492456043956,-3.409330811043956,5.101742054945056,-0.3546645053296705,5.643771686813184,0.34007238001098883,5.148095527472528,-1.5034909458791217,5.551676131868134,-4.129442702417581,6.271512351648355,-4.024355550934066,5.1429242857142885,-1.4291118658791202,4.946408368131872,-2.7854516853956053
